사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-10,경부선,1710,의왕,114,2,"6,590","2,806","12,781","9,678","29,206","26,130","28,965","28,090","15,277","10,304","11,837","9,181","11,899","7,956","11,743","9,325","11,297","9,937","11,413","9,369","13,161","11,131","17,150","14,548","26,927","18,685","24,378","27,816","11,379","19,825","7,954","14,456","5,949","12,155","4,369","10,555","1,685","7,373",86,"1,343",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1711,성균관대,250,27,"9,001","1,975","26,900","8,087","68,768","10,021","55,516","26,530","30,168","19,624","22,722","15,679","21,288","15,223","22,543","16,201","21,379","19,230","18,944","18,788","20,376","21,691","26,910","26,317","28,480","40,730","25,394","59,367","15,370","50,200","12,949","30,581","11,775","27,599","9,974","22,823","4,257","15,908",170,"2,699",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1712,화서,450,45,"8,130","2,535","21,822","6,327","43,832","6,181","35,292","11,006","17,431","6,445","13,580","6,971","12,008","7,129","11,626","7,661","10,453","9,134","9,321","9,584","9,886","11,367","13,791","14,402","13,102","22,818","11,115","36,334","6,042","30,698","4,683","16,869","3,906","14,041","3,418","12,544","1,131","8,222",57,"1,618",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1713,수원,"1,904",47,"20,925","6,772","36,373","32,359","74,110","54,886","71,886","84,102","52,968","77,437","46,696","72,668","53,297","73,638","57,934","83,529","60,011","81,611","63,973","75,729","79,544","77,246","100,257","90,955","102,919","102,823","104,280","123,649","81,777","98,033","85,802","54,830","64,809","44,769","56,033","36,153","21,069","24,900",762,"7,401",1,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1714,독산,895,9,"8,660","2,298","17,950","12,716","47,055","41,285","43,343","102,112","25,411","47,385","20,394","16,315","19,095","12,405","20,703","13,909","19,152","15,538","18,341","14,223","19,484","17,886","27,162","21,730","59,980","29,179","71,329","42,412","33,227","36,047","18,768","22,021","12,747","22,458","8,266","20,199","2,824","11,950",119,"1,111",0,5,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1715,세류,422,2,"4,158",908,"7,877","2,673","15,468","4,206","10,472","4,475","6,422","5,072","5,124","3,136","4,682","3,261","4,172","3,234","4,254","3,415","4,300","3,533","4,603","4,484","5,836","6,117","7,913","7,438","6,021","11,785","3,644","9,646","2,792","6,601","2,319","6,006","1,405","4,417",560,"2,955",17,989,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1716,병점,"3,853",15,"8,938","3,877","27,702","10,802","54,818","21,900","46,721","33,014","32,296","22,297","27,346","17,290","26,960","17,288","26,289","21,096","23,205","19,618","24,100","21,129","26,779","25,533","33,312","31,790","35,770","43,130","34,007","52,852","20,418","43,639","14,633","33,030","12,728","24,800","9,197","23,917","3,108","17,885",36,"7,694",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1717,세마,321,3,"2,392",888,"5,967","2,069","10,566","4,120","9,827","9,673","6,523","3,206","4,995","2,216","4,512","2,573","4,810","2,536","4,311","3,371","3,879","3,475","4,361","3,582","5,742","6,159","6,838","7,505","8,148","9,059","3,280","8,083","2,120","5,355","2,064","5,018","1,116","4,155",532,"2,463",85,251,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1718,오산대,293,3,"3,513","1,275","7,334","2,516","12,590","4,147","11,417","10,609","7,030","5,948","6,168","5,991","5,585","5,660","6,001","4,845","6,644","5,620","6,356","5,282","8,480","4,647","9,764","6,508","9,375","9,416","9,166","12,002","4,472","10,580","3,497","5,807","2,816","5,610","1,836","4,250",990,"3,244",79,327,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1719,오산,730,4,"8,213","2,303","15,161","10,562","26,930","24,562","27,504","21,747","20,978","14,232","19,235","12,338","18,235","11,307","19,306","13,857","17,171","15,694","16,776","15,967","17,874","19,627","23,776","23,314","26,912","28,705","27,445","31,857","16,336","26,944","13,216","20,438","9,042","15,651","5,322","10,706","2,487","8,864",128,845,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1720,진위,36,0,"1,060",366,"1,627","3,048","3,359","8,291","3,053","9,540","2,340","3,016","1,812","2,387","1,943","1,244","2,135","1,204","2,266","1,394","1,984","1,349","3,625","1,504","4,171","1,877","8,015","2,404","10,097","2,675","2,955","2,551","1,958","1,717","1,262","1,599",671,"1,347",212,859,12,72,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1721,송탄,129,3,"5,736","1,058","8,639","3,793","14,003","6,928","13,021","8,620","10,282","4,416","8,670","4,408","8,553","4,571","8,434","6,237","8,384","6,196","7,484","6,648","8,069","8,045","9,912","10,701","10,765","13,165","11,220","14,063","6,468","14,376","4,836","11,032","4,027","8,805","2,502","8,317","1,133","7,128",64,640,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1722,서정리,49,2,"4,296","5,575","11,708","10,080","17,644","15,517","17,156","20,613","13,871","10,577","12,882","8,458","13,049","8,017","14,136","10,991","12,887","10,958","13,565","10,077","15,205","12,179","20,069","17,502","32,100","19,902","23,072","19,041","13,397","19,389","10,564","15,072","8,016","11,529","4,136","11,157","1,783","8,522",80,"1,001",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1723,평택지제,24,1,"2,598","9,174","4,441","12,545","11,314","13,437","9,629","8,275","6,823","4,888","5,762","3,544","5,219","4,101","6,479","4,301","4,965","4,435","5,729","4,695","8,080","5,461","9,157","6,694","14,791","7,956","11,609","9,742","10,599","8,722","5,830","6,468","6,353","5,879","4,386","5,151","1,451","3,019",33,536,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1724,평택,223,2,"8,121","3,126","14,636","9,403","30,097","17,346","30,832","28,409","28,955","23,412","25,176","19,451","22,869","23,440","24,498","24,558","24,108","24,661","24,232","28,103","27,144","28,901","31,686","34,787","35,541","41,496","33,425","42,415","23,478","30,306","23,569","22,780","15,854","18,131","12,449","14,854","6,802","8,737",130,"2,752",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1725,성환,55,0,"2,464",623,"3,740","3,073","7,256","13,014","6,983","20,407","7,224","24,009","7,360","11,062","8,269","6,599","11,090","10,286","11,305","10,378","11,796","5,809","16,197","6,645","21,387","7,961","21,091","9,080","15,370","9,310","6,545","7,318","5,691","6,747","3,702","5,622","3,781","5,088","1,408","4,001",71,"1,137",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1726,직산,114,3,821,323,"1,570","1,215","1,973","3,017","2,169","3,487","1,598","1,387","1,468",985,"1,433","1,059","1,322","1,209","1,361","1,170","1,208","1,103","1,577","1,101","1,594","1,523","3,385","1,921","3,383","1,922","1,245","1,897",778,"1,255",717,"1,292",366,"1,074",161,867,17,197,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1727,두정,"1,298",4,"5,776","1,098","9,998","3,816","17,203","10,006","15,991","21,258","13,571","20,772","10,879","15,766","11,959","12,154","14,355","14,014","13,638","12,248","13,455","10,505","15,565","10,115","17,556","14,251","19,252","17,661","18,164","24,355","11,100","16,705","8,153","13,640","7,039","11,051","4,831","10,025","2,503","7,486",53,"2,642",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1728,천안,"2,079",9,"3,837",784,"6,388","3,310","12,152","6,848","11,503","16,077","14,955","16,144","11,289","14,322","13,083","15,303","13,547","15,182","14,331","14,435","17,233","13,196","21,889","14,622","22,759","14,936","20,623","19,778","17,531","21,700","11,949","13,091","9,211","10,638","6,353","7,334","4,048","6,353","2,107","3,672",19,"2,572",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1729,당정,36,1,"3,789",984,"10,487","3,394","26,699","8,137","24,688","15,932","13,352","9,617","9,975","6,431","9,555","5,482","10,826","7,019","9,557","6,705","8,879","6,838","9,607","8,150","11,210","11,130","13,087","14,153","14,364","20,953","6,149","18,476","4,792","12,094","4,217","10,281","3,105","10,307","1,223","7,033",125,"1,071",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1749,서동탄,3,0,"1,106",10,"4,258",779,"10,286","1,800","4,074","1,319","2,939",835,"2,113",705,"1,953","1,233","1,598","1,227","1,571","1,196","1,519","1,383","1,779","2,009","1,811","2,464","2,013","3,125","2,445","4,626","1,036","5,629",821,"2,642",549,"1,948",373,"2,774",119,"1,650",13,"1,320",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경부선,1750,광명,1,1,13,"1,216","3,013","3,011","11,880","6,237","10,205","6,873","6,545","6,114","4,329","4,276","7,378","2,671","5,480","8,220","4,859",164,"4,024","8,618","9,181","4,211","2,958","5,269","9,406","6,909","10,177","11,972","8,721","7,025","7,227","3,612","4,210","6,122","2,642","2,562","1,295",237,1,0,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1801,개봉,"1,682",7,"18,093","4,908","37,187","10,869","89,710","15,019","88,460","23,650","54,586","19,955","39,499","17,293","35,461","20,046","35,986","25,459","33,194","24,891","28,607","29,759","27,778","34,818","30,884","48,662","32,866","60,289","30,302","85,771","18,176","65,855","13,799","42,471","11,639","39,609","8,784","33,493","3,240","19,347",64,"1,424",1,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1802,오류동,792,6,"12,817","1,509","19,380","5,604","49,493","6,730","49,919","12,235","30,224","11,245","22,117","9,932","20,127","10,457","22,875","12,571","19,603","13,665","15,980","15,273","16,011","18,070","17,121","22,927","16,183","28,565","14,722","43,017","8,379","36,163","6,392","23,489","6,037","21,247","4,093","18,753","1,614","12,210",30,879,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1803,역곡,"1,239",15,"29,994","3,468","44,662","11,350","115,559","14,811","114,368","36,917","66,581","41,003","46,840","26,084","41,906","29,076","43,816","32,216","42,763","33,777","36,726","35,204","38,160","40,970","43,706","57,154","46,427","74,995","40,665","111,555","24,422","92,589","19,649","53,924","16,845","52,012","14,724","43,336","6,621","31,337",205,"1,940",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1804,부천,"3,171",16,"38,600","5,326","43,332","13,454","104,561","17,764","104,319","49,368","66,268","43,399","49,654","39,546","50,277","42,531","53,599","50,520","52,498","56,244","50,250","53,858","55,236","58,067","62,550","69,312","61,892","90,706","59,231","119,444","38,422","101,206","31,792","59,283","30,452","51,491","25,277","43,309","11,774","29,797",305,"3,566",1,1,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1805,송내,"2,012",9,"17,496","9,949","39,116","18,213","107,807","30,695","90,190","76,004","53,775","39,575","40,918","23,996","38,993","24,687","40,288","27,297","36,263","29,038","32,300","30,375","35,254","35,010","41,317","45,769","48,887","61,386","74,255","91,407","30,233","84,336","22,999","49,387","20,019","43,704","15,707","40,020","7,014","23,976",396,"2,739",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1806,부평,"9,260",42,"23,587","5,838","36,835","14,192","80,738","20,115","78,318","33,599","47,861","37,368","40,391","36,451","41,672","42,591","45,096","50,966","45,784","56,879","46,293","55,070","51,633","59,544","58,514","73,130","62,703","88,132","58,303","119,691","43,154","98,823","39,758","54,254","39,184","47,473","32,959","40,484","17,480","25,399","2,416","6,245",0,1,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1807,백운,168,3,"8,104","2,241","13,685","4,576","27,817","4,471","25,156","8,736","16,075","6,296","13,193","5,979","12,464","7,214","12,194","8,398","10,942","9,239","9,258","9,232","9,737","11,958","11,495","14,930","11,365","18,630","9,374","23,415","4,876","21,863","4,214","13,209","3,641","12,110","2,382","11,130","1,214","7,129",90,"1,641",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1808,동암,780,24,"20,451","3,882","33,834","8,338","61,658","13,081","59,305","16,880","36,713","14,660","29,378","13,799","26,011","15,567","26,912","18,573","24,703","19,929","21,695","20,171","21,603","26,125","23,517","34,050","25,455","46,584","23,600","59,827","14,670","53,816","11,526","34,317","10,183","31,625","7,806","28,671","4,014","18,100",265,"4,294",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1809,주안,"1,162",23,"15,589","4,313","28,388","9,456","61,308","18,063","58,214","30,336","37,752","25,375","30,187","19,228","30,288","19,998","33,430","24,405","31,728","22,292","29,161","25,037","33,117","25,823","35,469","34,739","41,616","42,530","39,404","55,860","23,494","58,382","20,016","34,161","18,415","30,756","15,386","27,986","6,859","20,585",544,"4,714",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1810,제물포,917,6,"8,182","1,891","15,761","5,595","38,972","13,006","34,109","33,927","19,959","18,145","16,717","10,596","17,500","9,769","18,432","12,363","16,861","13,494","15,290","12,043","19,259","13,881","23,709","17,468","23,107","22,379","23,606","30,454","10,381","29,532","7,524","17,445","6,686","16,636","4,774","15,342","1,769","10,684",70,"2,871",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1811,동인천,"1,738",28,"7,552","2,719","16,737","11,100","38,681","23,465","32,379","33,919","21,820","18,453","20,443","21,108","21,132","24,603","24,452","22,000","23,896","24,048","24,580","22,867","29,305","22,703","31,948","26,287","38,290","30,062","43,206","34,505","18,377","32,467","14,077","19,132","12,036","16,352","7,435","14,743","2,598","10,073",12,"3,131",0,9,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1812,인천,316,32,"1,610","1,095","3,358","3,270","6,038","6,148","5,220","9,279","3,957","7,907","4,094","9,556","5,177","11,847","7,070","11,796","9,468","9,654","12,225","9,316","14,909","7,073","17,532","5,882","16,881","5,142","15,468","4,923","7,370","3,455","6,159","2,541","4,133","1,956","2,238","1,662",594,"1,197",7,"1,034",0,12,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1813,구일,305,14,"4,389","1,480","9,683","4,013","25,663","7,447","24,288","13,954","14,184","12,392","11,321","7,241","10,494","7,390","11,181","11,107","9,906","15,650","9,144","10,192","11,596","10,245","15,710","14,052","22,415","21,062","12,588","34,636","5,961","21,331","4,915","11,794","12,246","11,146","10,281","9,498","1,425","6,107",29,449,0,4,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1814,소사,"1,254",19,"16,639","3,390","15,234","6,164","31,049","8,176","28,955","14,873","20,126","11,517","16,366","10,856","15,023","11,121","15,809","13,328","14,427","12,543","13,530","12,989","14,451","14,200","16,928","18,709","16,508","23,177","13,902","28,114","7,686","24,395","5,691","16,302","4,474","14,596","3,160","12,943","1,263","9,695",46,"1,545",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1815,부개,"1,982",9,"9,971","2,161","17,005","4,362","39,312","5,756","33,385","10,490","20,527","6,782","15,729","5,925","14,356","7,885","14,668","9,213","13,138","9,837","10,985","10,796","11,166","13,938","13,199","18,295","12,096","22,758","11,382","28,231","6,247","26,335","4,450","15,704","3,880","14,575","2,636","13,322","1,206","8,970",111,"1,512",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1816,간석,369,4,"6,093","1,357","11,447","2,414","23,055","4,311","20,178","9,416","12,359","5,532","10,133","5,348","9,853","5,533","9,843","6,658","8,891","7,656","8,020","7,678","8,819","9,747","9,780","11,802","9,576","14,909","9,752","18,651","5,009","17,324","4,120","11,052","3,722","8,914","2,759","8,143","1,278","5,859",132,"1,675",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1817,도원,621,7,"2,409","1,374","3,870","2,115","7,969","5,697","7,411","19,862","4,986","4,205","4,874","4,344","5,228","3,934","6,652","3,722","5,437","4,698","4,707","4,701","7,316","6,029","11,605","6,830","9,040","6,571","9,548","7,590","3,234","6,647","2,614","4,043","3,585","3,632","1,377","2,997",365,"2,401",17,"1,169",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1821,온수(성공회대입구),210,4,"6,001","1,470","9,239","3,593","22,677","9,955","22,178","14,603","15,212","9,583","12,526","6,683","12,265","7,550","13,523","8,501","12,030","8,982","10,959","9,243","11,805","10,444","16,786","12,396","14,274","16,072","12,515","21,683","6,013","18,511","4,438","11,507","4,330","10,813","3,546","9,607","1,468","5,815",78,726,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1822,중동,"1,080",17,"11,766","1,388","18,310","3,480","43,779","5,533","35,069","12,645","21,189","9,003","16,230","7,797","14,706","9,411","15,662","10,027","14,467","11,156","12,242","11,839","11,614","14,096","12,663","18,621","13,272","23,891","13,073","31,134","6,723","27,510","5,289","17,959","4,830","15,734","3,150","13,238","1,320","10,102",106,"1,406",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경인선,1823,도화,339,2,"4,327",796,"7,284","1,764","16,880","4,154","14,176","6,793","9,162","3,335","7,724","4,091","7,232","4,551","7,442","5,156","7,137","5,579","5,825","6,025","5,936","7,067","6,823","8,877","7,140","10,592","6,768","11,639","3,553","10,535","2,843","6,770","2,140","5,674","1,521","5,036",648,"4,062",19,"1,495",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1008,이촌(국립중앙박물관),84,1,"1,158",694,"3,607","2,675","8,956","4,378","10,215","8,324","8,436","5,503","7,062","4,158","6,587","4,161","6,735","4,110","7,048","4,853","6,576","4,812","7,319","5,816","9,191","7,333","10,151","8,244","9,943","10,457","5,859","7,673","7,611","4,655","7,515","4,064","3,898","4,141","1,024","2,371",52,708,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1009,서빙고,79,1,"1,077",707,"2,147","3,054","3,546","4,551","3,831","9,124","3,686","4,385","3,412","3,485","3,167","3,121","3,555","3,121","4,060","4,491","3,765","4,476","5,283","5,503","6,719","5,108","9,025","3,733","8,040","4,459","3,112","3,411","2,650","1,965","3,775","1,928","1,744","1,577",396,"1,104",17,255,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1010,한남,169,0,"2,219",752,"2,809","4,611","4,713","10,082","5,768","13,730","5,052","10,890","4,991","6,197","5,419","4,791","5,570","5,004","5,203","5,708","6,192","5,085","7,496","5,209","9,331","6,784","14,262","7,530","13,765","8,021","6,994","6,684","5,338","3,290","5,447","3,676","5,261","2,727","2,268","1,595",102,469,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1011,옥수,0,0,0,29,27,112,53,39,108,245,36,20,50,221,14,235,20,95,18,21,33,19,16,18,390,55,460,106,49,30,471,18,55,26,44,19,16,9,9,2,2,0,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1012,응봉,151,3,"1,367",314,"3,079","1,207","7,501","1,799","8,601","2,633","5,652","1,616","3,923","1,524","4,005","1,655","3,189","2,009","2,862","2,422","2,641","2,862","2,915","3,011","3,501","4,042","3,183","4,753","3,093","5,691","1,626","4,842","1,213","3,132",885,"2,556",784,"2,711",215,"1,569",26,409,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1013,왕십리(성동구청),912,9,"6,268","1,328","8,866","6,088","25,353","12,695","40,874","23,271","27,763","21,764","17,669","20,797","18,288","21,697","21,446","24,901","23,963","26,241","24,227","25,836","26,925","29,635","31,998","34,548","34,737","46,653","32,394","66,710","24,968","46,804","24,541","28,443","26,942","24,091","24,975","22,489","11,609","12,415","1,032","4,812",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1014,청량리(서울시립대입구),"1,167",15,"6,297","2,406","7,911","14,956","28,367","20,188","45,483","28,758","27,033","34,081","35,998","35,959","26,238","35,933","32,447","33,549","39,054","34,695","32,048","36,775","40,334","39,479","39,897","37,013","36,260","36,453","42,370","53,274","24,962","35,535","29,489","20,103","24,280","22,205","12,274","12,699","5,914","7,364",183,"3,468",0,1,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1016,외대앞,552,17,"5,259","3,069","7,944","5,715","19,051","4,941","23,856","24,943","15,624","11,289","13,005","16,944","13,975","15,667","15,166","14,487","16,399","12,121","17,451","15,251","17,853","13,294","21,947","15,536","25,560","19,106","18,584","25,067","11,370","19,778","9,344","13,543","10,025","13,783","7,542","13,687","3,958","10,661",146,"2,400",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1017,신이문,"1,477",8,"9,507","1,557","14,468","3,179","35,531","4,207","39,505","7,958","22,526","5,041","16,597","5,686","14,252","7,132","13,757","8,157","13,270","9,786","11,020","10,740","10,201","14,888","10,429","17,915","10,209","22,438","9,070","31,282","5,828","24,227","3,873","16,230","2,826","14,039","2,212","12,467",954,"8,300",50,"1,709",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1018,석계,"1,364",4,"6,673","1,768","11,699","3,769","24,580","5,965","28,707","9,686","20,055","8,123","16,853","8,182","16,027","9,720","15,397","9,922","14,768","12,022","13,040","13,163","13,130","17,609","13,363","22,115","13,417","27,950","11,738","38,262","8,493","27,269","6,625","17,828","6,441","16,300","5,342","12,931","2,550","9,379",141,"2,149",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1019,광운대,"2,398",14,"6,323","1,067","12,617","2,402","29,695","6,025","26,992","18,116","15,572","11,369","12,478","11,488","12,869","14,443","12,905","10,250","13,470","12,526","13,714","12,929","13,269","12,023","15,050","15,335","16,806","17,883","13,407","24,864","7,275","20,270","6,446","13,228","5,969","11,953","5,151","10,106","2,666","9,592",193,"4,343",0,24,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1020,월계,"1,101",20,"5,747","1,088","10,392","2,626","24,887","7,285","24,748","14,134","16,044","14,827","13,770","9,393","13,535","6,938","13,801","8,875","13,076","12,602","11,636","9,544","12,969","10,696","16,127","13,640","15,366","15,991","11,350","23,881","6,009","18,407","4,419","10,085","4,013","9,724","2,849","8,442","1,061","5,739",82,"1,452",0,7,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1021,녹천,"1,230",46,"4,519",725,"7,576","1,444","21,627","4,304","19,813","5,343","12,036","2,925","8,890","3,494","7,772","3,213","8,366","4,359","6,953","4,901","5,785","5,098","5,565","6,266","7,138","8,255","5,827","10,286","4,808","14,837","2,931","11,997","2,070","7,516","1,861","6,736","1,174","6,223",452,"4,051",28,"1,090",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1022,창동,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1901,방학,851,20,"12,100","1,617","15,985","4,795","34,306","9,008","32,003","19,612","22,567","11,742","18,765","11,227","17,587","10,296","18,742","13,663","15,996","13,289","14,764","14,781","14,636","18,213","15,286","22,700","15,829","26,009","17,229","30,869","9,552","27,084","6,901","15,301","6,030","13,549","4,268","12,009","1,793","7,035",211,"2,687",0,6,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1902,도봉,421,27,"7,704","1,180","9,963","3,816","19,990","4,007","18,084","9,576","13,625","8,249","11,844","7,995","11,274","6,609","10,093","8,881","10,309","8,547","10,273","9,759","10,074","11,052","10,152","13,481","10,615","14,480","10,226","17,021","4,806","15,108","3,415","9,240","2,492","7,688","1,779","7,165",885,"4,247",126,"1,601",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1903,도봉산,259,2,"6,555","1,149","9,430","3,262","21,538","5,372","21,852","9,438","16,047","16,163","13,085","19,805","13,572","17,457","16,363","17,151","19,397","13,436","24,153","11,732","26,488","11,320","26,516","11,057","22,510","9,943","16,905","10,704","9,012","8,814","5,136","5,504","3,760","5,045","2,244","4,954",952,"3,164",128,"1,346",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1904,망월사,532,9,"8,011","1,209","13,127","3,809","27,603","5,698","28,568","19,297","18,566","18,185","15,546","11,735","16,558","16,646","15,463","14,327","16,149","12,538","16,428","15,128","15,510","13,744","17,090","16,756","21,038","21,381","12,412","26,688","6,856","24,266","5,655","14,651","5,912","12,576","4,172","10,906","1,992","7,569",287,"2,889",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1905,회룡,"1,273",16,"15,461","1,966","26,873","5,361","56,474","8,639","49,531","12,902","33,135","11,289","27,961","11,735","25,929","14,026","23,383","15,464","20,864","17,418","17,477","19,158","16,503","22,906","15,970","30,898","15,255","38,636","12,829","45,815","8,046","43,301","6,094","24,913","5,104","21,315","3,501","17,377","1,579","11,614",252,"4,536",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1906,의정부,"2,650",13,"11,509","2,599","25,054","7,942","50,213","13,404","48,075","34,961","30,199","36,370","26,240","27,915","28,795","32,947","31,235","35,333","31,934","37,909","34,246","36,971","36,746","34,928","39,929","42,030","44,121","48,427","46,628","61,196","28,886","53,220","27,028","31,768","19,032","26,516","15,798","21,851","6,913","15,981",791,"7,338",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1907,가능,598,3,"8,255","1,863","11,606","4,188","24,975","7,306","22,873","14,392","13,666","8,818","13,638","6,773","12,300","7,704","12,381","7,496","11,068","9,242","9,556","7,815","9,408","10,673","11,291","13,215","12,875","17,116","9,868","21,665","6,138","18,654","4,855","12,551","4,011","10,031","2,878","8,333","1,183","5,740",129,"2,169",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1908,녹양,325,1,"5,442","1,002","8,409","2,524","18,550","5,216","15,616","9,295","9,884","4,828","9,118","4,043","8,926","5,376","8,453","5,152","7,724","6,280","6,493","5,813","7,254","7,530","7,785","9,539","8,456","11,891","8,646","15,118","4,196","12,498","2,917","8,396","2,429","7,173","1,742","6,514",676,"4,441",55,"1,586",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1909,양주,"1,777",7,"5,535","2,199","11,257","6,844","30,462","12,303","27,516","12,311","19,771","9,615","16,963","9,013","15,366","9,966","14,606","10,642","14,098","10,453","12,916","10,049","13,502","13,439","16,072","15,945","16,575","20,829","16,114","24,197","7,900","21,376","4,747","14,601","3,371","12,202","2,069","11,158",869,"7,403",49,"2,957",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,경원선,1910,덕계,24,1,"3,081","1,219","9,167","6,126","14,280","4,192","13,216","6,289","7,617","3,640","6,036","2,438","6,070","2,856","5,116","3,254","5,268","3,713","4,773","3,364","5,545","4,966","7,828","5,653","7,186","9,177","5,754","9,794","2,302","10,199","1,605","5,598","1,078","4,805",812,"4,037",338,"3,039",17,817,0,0,0,0,0,0,2022-11-03 10:23:13
