사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-10,2호선,0204,을지로4가,12,0,"1,040","1,417","2,034","13,957","4,517","31,915","9,453","73,969","10,247","39,453","12,667","24,624","15,981","24,346","18,110","21,851","21,034","21,411","23,419","20,753","26,359","18,096","33,139","16,474","53,965","16,231","65,737","16,462","27,882","10,223","16,619","6,789","14,233","6,754","10,034","6,118","4,995","4,224",771,"1,201",1,27,1,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0205,동대문역사문화공원(DDP),244,7,"5,250","1,338","4,565","8,502","7,202","20,894","11,593","50,545","12,506","33,463","14,114","30,490","18,304","31,428","21,161","31,324","23,183","31,450","28,010","32,250","33,159","29,554","41,067","27,693","45,892","29,033","46,982","32,365","30,387","27,933","23,631","19,082","24,132","16,097","17,214","14,460","8,375","9,591","1,492","2,930",5,98,0,1,0,0,2022-11-03 10:23:13
2022-10,2호선,0206,신당,39,1,"6,001","1,388","11,034","8,667","26,578","16,736","44,377","33,191","28,152","22,568","19,737","19,315","19,823","20,077","22,516","21,779","22,897","23,078","23,266","23,143","23,900","24,933","28,516","29,047","31,114","36,005","32,892","50,067","22,943","32,648","17,617","20,320","15,599","19,157","13,295","17,466","6,520","11,191","1,008","3,393",1,26,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0207,상왕십리,55,0,"5,759",663,"13,546","6,019","38,655","12,352","63,428","31,388","35,838","18,134","23,082","13,448","20,320","12,612","21,958","14,706","20,970","16,404","19,293","17,156","19,477","20,837","21,458","25,753","25,438","33,801","27,043","50,658","17,446","34,534","12,446","22,518","10,008","21,982","7,378","20,729","2,832","13,019",425,"3,737",0,21,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0208,왕십리(성동구청),961,7,"7,611","1,128","10,260","6,736","25,707","12,664","46,131","27,955","30,329","18,868","21,080","15,529","20,967","16,024","23,770","19,138","24,722","19,578","24,661","20,205","28,209","22,058","32,570","25,867","36,322","35,650","38,045","55,409","25,459","34,260","23,995","21,222","25,907","19,421","26,982","19,186","15,126","12,912","2,557","4,469",1,36,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0209,한양대,13,0,"1,186",267,"2,617","5,813","5,023","12,320","8,754","59,441","7,064","54,805","8,355","46,908","13,365","18,449","17,920","33,830","19,179","27,340","23,324","20,890","28,956","14,505","39,611","12,078","47,647","16,421","37,973","20,380","18,750","10,679","16,955","6,955","19,364","6,303","15,741","5,904","8,648","3,981","2,750","1,124",0,2,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0210,뚝섬,10,0,"3,200","2,000","8,243","15,919","18,182","35,662","24,739","125,783","17,032","86,903","14,862","40,786","16,559","33,736","20,610","35,545","24,057","36,527","28,517","33,735","36,640","33,864","47,786","34,381","70,298","37,826","125,609","44,189","60,355","26,610","41,096","14,097","40,066","12,336","26,057","11,244","10,790","7,589","1,494","2,347",2,49,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0211,성수,65,0,"5,479","4,202","9,405","28,584","23,099","70,834","31,256","245,028","23,797","143,268","21,361","62,898","24,228","50,931","29,412","54,836","35,460","58,732","41,425","56,920","51,744","55,367","66,883","56,479","119,084","60,920","224,786","68,575","104,218","40,853","72,602","20,728","68,370","16,471","49,717","15,398","20,481","11,971","2,971","6,004",4,820,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0212,건대입구,343,20,"17,079","1,569","22,663","16,891","51,780","24,706","89,941","61,937","62,749","52,935","39,849","44,161","39,076","48,689","45,497","56,148","50,530","60,501","52,511","60,265","57,310","66,125","65,357","80,662","76,349","107,602","86,009","152,855","64,759","106,105","66,005","64,789","71,560","60,090","72,018","54,596","43,479","32,542","6,431","10,110",2,797,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0213,구의(광진구청),71,0,"13,389","1,750","26,061","16,931","67,387","15,077","110,936","35,896","68,723","24,052","38,123","20,477","32,302","19,953","33,073","22,708","32,000","26,065","29,071","28,315","29,470","35,239","36,890","42,570","36,460","56,467","42,958","91,387","22,790","66,360","17,721","43,639","16,237","42,802","14,917","39,876","8,022","23,062","1,163","6,643",2,133,0,0,0,0,2022-11-03 10:23:13
